"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","sold_individually","low_stock_amount","purchase_note","wc_cog_cost","product_page_url","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:GUMMIES:","attribute_data:GUMMIES:","attribute_default:GUMMIES:","attribute:OPTIONS:","attribute_data:OPTIONS:","attribute_default:OPTIONS:","attribute:Options","attribute_data:Options","attribute_default:Options","attribute:Select Gummies","attribute_data:Select Gummies","attribute_default:Select Gummies","attribute:Select Preferred Gummies","attribute_data:Select Preferred Gummies","attribute_default:Select Preferred Gummies","attribute:Select Strain","attribute_data:Select Strain","attribute_default:Select Strain","attribute:Strain","attribute_data:Strain","attribute_default:Strain"
"CBD Rapid Cooling Roll On","cbd-rapid-cooling-roll-on","449395","","","publish","9","2020-09-24 08:53:54","1","open","","no","no","","49.99","","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no","","","","https://www.purerelief.com/cbd-rapid-cooling-roll-on/","https://www.purerelief.com/wp-content/uploads/2020/09/cbd-rapid-cooling-roll-on-1.jpg | https://www.purerelief.com/wp-content/uploads/2020/09/what-are-cbd-roll-ons.jpg | https://www.purerelief.com/wp-content/uploads/2020/09/is-this-roll-on-applicator-for-you.jpg | https://www.purerelief.com/wp-content/uploads/2020/09/cbd-cooling-roll-on.jpg | https://www.purerelief.com/wp-content/uploads/2020/09/cbd-rapid-cooling-roll-on.jpg | https://www.purerelief.com/wp-content/uploads/2020/09/pure-relief-cbd-rapid-cooling-roll-on-1800-mg-in-use.jpg | https://www.purerelief.com/wp-content/uploads/2020/09/about-cbd-rapid-cooling-roll-on.jpg","","simple","","All CBD Products|CBD Topicals","","","","","","","","","","","","","","","","","","","","","","",""
"5 Pack Raw Hemp Flower Bundle","5-pack-raw-hemp-flower-bundle","1316600","","","publish","0","2021-05-04 18:16:16","1","open","","no","no","","129.95","89.99","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no","","","","https://www.purerelief.com/5-pack-raw-hemp-flower-bundle/","https://www.purerelief.com/wp-content/uploads/2021/05/5-pack-raw-hemp-flower-bundle.jpg | https://www.purerelief.com/wp-content/uploads/2021/05/raw-hemp-flower-bundle.png | https://www.purerelief.com/wp-content/uploads/2021/05/grind-your-cbd-flower.png | https://www.purerelief.com/wp-content/uploads/2021/05/raw-hemp-flower.png","","simple","","CBD Bundles","","","","","","","","","","","","","","","","","","","","","","",""
"Muscle and Joint Bundle","muscle-and-joint-bundle","1353006","","","publish","3","2021-05-13 14:13:45","1","open","","no","no","","179.99","134.99","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no","","","31.33","https://www.purerelief.com/muscle-and-joint-bundle/","https://www.purerelief.com/wp-content/uploads/2021/05/muscle-and-joint-bundle.png | https://www.purerelief.com/wp-content/uploads/2021/05/muscle-and-joint-bundle-back.png | https://www.purerelief.com/wp-content/uploads/2021/05/muscle-and-joint-bundle-backs.png | https://www.purerelief.com/wp-content/uploads/2021/05/pure-relief-muscle-and-joint-bundle.png | https://www.purerelief.com/wp-content/uploads/2021/05/muscle-and-joint-bundle-2500mg.png","","simple","","CBD Bundles","","","","","","","","","","","","","","","","","","","","","","",""
"Muscle & Joint Salve","pure-hemp-muscle-joint-salve","2025269","","<h1>Pure Hemp Muscle and Joint Full-Spectrum CBD Salve</h1>
Support your recovery efforts and active lifestyle with our new CBD salve for muscles and joints. This all-natural hemp cream is formulated with a high concentration (900 mg) of full-spectrum CBD and other soothing, plant-based ingredients like beeswax and essential oils. This calming CBD salve works by targeting sore joints and muscles in the affected area and penetrating the skin deeply to effectively deliver all CBDâ€™s natural benefits. Our muscle and joint cream can also nourish the skin with the nutrients found in hemp and the rest of our natural, botanical ingredients.

If you lead an active lifestyle, look no further than our new hemp salve. Whether you enjoy daily workouts or your professional schedule consists of physically-demanding activities, this all-natural cream for muscles and joint support may provide you with the solution you need.","publish","0","2021-06-04 08:44:28","11928","open","","no","no","","49.99","","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no","","","","https://www.purerelief.com/pure-hemp-muscle-joint-salve/","https://www.purerelief.com/wp-content/uploads/2021/06/PR-Muscle-Salve.jpg","","simple","","All CBD Products|CBD Topicals","","","","","","","","","","","","","","","","","","","","","","",""
"Champions Bundle","champions-bundle","2031800","<h4>This bundle includes the Muscle &amp; Joint Salve + any CBD Gummy Pack (Daytime, Nighttime, Immune Support, Peach)</h4>","","publish","1","2021-06-04 00:00:31","11928","open","","no","no","","109.98","89.99","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no","","","","https://www.purerelief.com/champions-bundle/","https://www.purerelief.com/wp-content/uploads/2021/06/SuperDadsReliefBundle.jpg","","variable","","All CBD Products|CBD Bundles","","","","","","","","","","","","Daytime Gummies | Nighttime Gummies | Peach Gummies | Immune Support Gummies","0|1|1","","","","","","","","","",""
"Fighter's Club Bundle","fighters-club-bundle","2032842","<h4 data-pm-slice=""1 1 []"">This bundle includes the Muscle &amp; Joint Salve + our 5 Pre Roll Strains (Peach Mint Kush, Orange Kush, Sour Diesel, Cherry Chocolate Chip, White Widow CBG)</h4>","","publish","2","2021-06-04 08:42:37","11928","open","","no","no","","114.99","89.99","","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no","","","","https://www.purerelief.com/fighters-club-bundle/","https://www.purerelief.com/wp-content/uploads/2021/06/HappyPopsBundle.jpg","","simple","","All CBD Products|CBD Bundles","","","","","","","","","","","","","","","","","","Peach Mint Kush | Orange Kush | Sour Disel | Cherry Chocolate Chip | White Widow CBG","0|1|1","","","",""
